Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site,adsorption_energy
Cr,W,0.5,0.5,hollow,-0.7321943930573696
Ru,W,0.5,0.5,hollow,-0.6421415835602318
Au,Zn,0.5,0.5,hollow,0.594304514947936
Nb,Sc,0.5,0.5,hollow,-0.9421714448571664
Sc,Y,0.5,0.5,hollow,-0.9876037073581472
Cr,W,0.5,0.5,top,0.1676270227408451
Mn,Ru,0.5,0.5,bridge,0.0483242884447747
Cr,W,0.5,0.5,top,0.0281769798430389
Mn,Ru,0.5,0.5,bridge,-0.0645373751603699
Cr,Ti,0.75,0.25,hollow,-0.8945411827580472
Cr,Ta,0.75,0.25,hollow,-1.1572455969571536
Cr,Nb,0.75,0.25,hollow,-1.0583096311592897
Cr,Mn,0.5,0.5,bridge,-2.155592902955476
Cr,Mn,0.5,0.5,bridge,-2.2056757271556933
Cr,Pt,0.75,0.25,bridge,-0.284672436558111
Cr,Pt,0.5,0.5,bridge,0.0086683224408545
Cr,Pd,0.75,0.25,hollow,-0.90617078396005
Cr,Mn,0.5,0.5,bridge,-2.2343317633558115
Cr,Pd,0.75,0.25,bridge,-0.6318227546607602
Cr,Pd,0.75,0.25,top,0.1879014084416042
Cr,Au,0.75,0.25,hollow,-0.8698846757569925
Cr,Ag,0.75,0.25,bridge,-0.5820837464625299
Cr,Ag,0.75,0.25,hollow,-0.8484423773615788
Cr,Cu,0.75,0.25,hollow,-0.9631512857585848
Cr,Cu,0.5,0.5,bridge,-0.5508429007595339
Cr,Cu,0.75,0.25,hollow,-0.6892291145549905
Cr,Zn,0.75,0.25,bridge,-0.654135545161779
Mo,Sc,0.75,0.25,bridge,-1.0760185276548953
Mo,Sc,0.75,0.25,hollow,-0.6650192823571786
Mo,Ti,0.75,0.25,hollow,-1.1454253800575032
Mo,Ta,0.75,0.25,bridge,-0.7012647096589433
Mo,W,0.75,0.25,bridge,-0.6968790508571772
Mo,W,0.75,0.25,hollow,-1.1134760859594903
Mo,W,0.5,0.5,bridge,-0.5427388064553895
Mo,Re,0.75,0.25,hollow,-0.7546700437587504
Mo,Re,0.5,0.5,bridge,-0.4382487250577185
Mo,Tc,0.75,0.25,bridge,-0.6515402594586419
Mo,Tc,0.75,0.25,hollow,-0.7415568778587556
Mo,Re,0.75,0.25,hollow,-0.7775546815600762
Mo,Tc,0.75,0.25,hollow,-0.7369739366576766
Mo,Os,0.75,0.25,hollow,-0.7097044564570467
Mo,Re,0.75,0.25,hollow,-0.8338876883599085
Mo,Os,0.75,0.25,hollow,-0.6813816235580532
